Model,Accuracy,Precision,Recall,F1,ROC-AUC,Window,ArtifactCondition,Category,Variant,N_Features
SVM,0.6869877049180327,0.6312594840667678,0.5306122448979592,0.5765765765765766,0.7110030227844563,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Gamma,1088
Logistic Regression,0.6137295081967213,0.5311203319502075,0.32653061224489793,0.40442338072669826,0.603691990494828,Analysis_Window,ICA_Cleaned,Frequency Band (Omit),Omit Gamma,1088
SVM,0.5220286885245902,0.40581542351453853,0.4094387755102041,0.4076190476190476,0.5301961752166621,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Delta,128
Logistic Regression,0.5025614754098361,0.40270551508844954,0.49362244897959184,0.44355300859598856,0.5062213883841208,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Delta,128
SVM,0.5425204918032787,0.4444444444444444,0.5561224489795918,0.4940509915014164,0.542946909071848,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Theta,384
Logistic Regression,0.5855532786885246,0.4849939975990396,0.5153061224489796,0.4996907854050711,0.6086280402571987,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Theta,384
SVM,0.6362704918032787,0.5461346633416458,0.5586734693877551,0.5523329129886507,0.6691579885378809,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Alpha,448
Logistic Regression,0.5860655737704918,0.4879759519038076,0.6211734693877551,0.5465768799102132,0.6321266948560246,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Alpha,448
SVM,0.5527663934426229,0.4301412872841444,0.3494897959183674,0.3856439127375088,0.5372682677523064,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Beta,128
Logistic Regression,0.5496926229508197,0.41796200345423146,0.3086734693877551,0.35509904622157007,0.5406415991053956,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Beta,128
SVM,0.5496926229508197,0.379746835443038,0.1913265306122449,0.2544529262086514,0.514104871400615,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Gamma,128
Logistic Regression,0.5471311475409836,0.41638795986622074,0.31760204081632654,0.36034732272069464,0.5091076670394186,Analysis_Window,ICA_Cleaned,Frequency Band (Isolate),Only Gamma,128
