Feature,Importance,Feature family
PLV_Theta_Fp1_Fp2,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_F5,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_F3,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_F1,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_AF3,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_AF7,0.0,Functional connectivity / synchrony
PLV_Alpha_PO4_O2,0.0,Functional connectivity / synchrony
PLV_Alpha_PO8_O2,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_Oz,0.0,Functional connectivity / synchrony
PLV_Alpha_PO8_PO4,0.0,Functional connectivity / synchrony
PLV_Alpha_P10_O2,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_F7,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_AFz,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_AF4,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_AF8,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_PO4,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_Fpz,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_CPz,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_Pz,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_POz,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_Oz,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_CP5,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_O1,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_PO3,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_PO7,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_P9,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_P7,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_P5,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_P3,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_P1,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_CP1,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_CP3,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_Iz,0.0,Functional connectivity / synchrony
PLV_Theta_FT7_PO8,0.0,Functional connectivity / synchrony
PLV_Theta_FT7_PO4,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_C2,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_Cz,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_FCz,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_FC2,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_FC4,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_FC6,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_FT8,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_F1,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_F6,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_F4,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_F2,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_Fz,0.0,Functional connectivity / synchrony
PLV_Theta_FT7_O2,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_AFz,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_FC3,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_AF4,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_AF8,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_Fp2,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_F8,0.0,Functional connectivity / synchrony
PLV_Theta_AF3_F5,0.0,Functional connectivity / synchrony
PLV_Theta_AF3_F3,0.0,Functional connectivity / synchrony
PLV_Theta_AF3_F1,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_O2,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_PO4,0.0,Functional connectivity / synchrony
PLV_Theta_FT7_P6,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_PO8,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_P10,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_P8,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_C4,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_P4,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_P2,0.0,Functional connectivity / synchrony
PLV_Theta_FT7_P8,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_CP2,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_CP4,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_CP6,0.0,Functional connectivity / synchrony
PLV_Theta_FT7_P10,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_TP8,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_T8,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_C6,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_P6,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_C5,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_C3,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_C1,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_FC1,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_T7,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_FC3,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_TP7,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_CP5,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_FC5,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_Fpz,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_F7,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_F5,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_F3,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_CP3,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_CP1,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_P1,0.0,Functional connectivity / synchrony
PLV_Alpha_P10_PO4,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_AF3,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_P3,0.0,Functional connectivity / synchrony
PLV_Theta_Fp1_O2,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_FT7,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_CPz,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_Pz,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_FC1,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_C1,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_POz,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_Oz,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_Iz,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_O1,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_PO3,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_PO7,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_T7,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_P7,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_P5,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_P3,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_P1,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_C3,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_CP1,0.0,Functional connectivity / synchrony
PLV_Theta_FC5_C5,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_CP3,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_CP5,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_TP7,0.0,Functional connectivity / synchrony
PLV_Theta_AF7_P9,0.0,Functional connectivity / synchrony
PLV_Alpha_C4_C6,0.0,Functional connectivity / synchrony
